datum,temperatura,leto,mesec
2018-02-01,8.1,2018,2
2018-02-02,2.4,2018,2
2018-02-03,1.0,2018,2
2018-02-04,1.3,2018,2
2018-02-05,-0.2,2018,2
2018-02-06,0.0,2018,2
2018-02-07,0.6,2018,2
2018-02-08,1.4,2018,2
2018-02-09,1.3,2018,2
2018-02-10,1.0,2018,2
2018-02-11,0.1,2018,2
2018-02-12,-0.3,2018,2
2018-02-13,0.9,2018,2
2018-02-14,-1.1,2018,2
2018-02-15,-2.3,2018,2
2018-02-16,-1.3,2018,2
2018-02-17,2.0,2018,2
2018-02-18,2.0,2018,2
2018-02-19,0.6,2018,2
2018-02-20,0.6,2018,2
2018-02-21,0.5,2018,2
2018-02-22,-0.6,2018,2
2018-02-23,-0.6,2018,2
2018-02-24,-2.2,2018,2
2018-02-25,-7.6,2018,2
2018-02-26,-9.5,2018,2
2018-02-27,-8.6,2018,2
2018-02-28,-10.3,2018,2
