time,temperatura_avg
2020-05-09,20.9
2020-05-10,21.3
2020-05-11,21.8
2020-05-12,20.6
2020-05-13,19.8
2020-05-14,18.8
2020-05-15,18.1
2020-05-16,19.3
2020-05-17,18.3
2020-05-18,18.3
2020-05-19,17.5
2020-05-20,17.9
2020-05-21,18.0
2020-05-22,17.7
2020-05-23,17.9
2020-05-24,17.7
2020-05-25,18.1
2020-05-26,18.7
2020-05-27,18.8
2020-05-28,19.7
2020-05-29,19.8
2020-05-30,19.1
2020-05-31,18.6
2020-06-01,18.6
2020-06-02,18.0
2020-06-03,18.0
2020-06-04,17.9
2020-06-05,17.8
2020-06-06,18.0
2020-06-07,18.2
2020-06-08,17.9
2020-06-09,17.8
2020-06-10,18.8
2020-06-11,19.0
2020-06-12,18.1
2020-06-13,17.7
2020-06-14,17.9
2020-06-15,17.9
2020-06-16,18.4
2020-06-17,18.0
2020-06-18,17.9
2020-06-19,18.0
2020-06-20,17.0
2020-06-21,17.2
2020-06-22,17.0
2020-06-23,16.8
2020-06-24,16.6
2020-06-25,16.6
2020-06-26,16.8
2020-06-27,16.8
2020-06-28,16.6
2020-06-29,16.7
2020-06-30,16.4
2020-07-01,16.4
2020-07-02,16.4
2020-07-03,16.9
2020-07-04,16.0
2020-07-05,16.3
2020-07-06,16.2
2020-07-07,16.7
2020-07-08,16.2
2020-07-09,16.2
2020-07-10,16.3
2020-07-11,15.9
2020-07-12,15.8
2020-07-13,15.5
2020-07-14,15.6
2020-07-15,15.5
2020-07-16,15.6
2020-07-17,16.3
2020-07-18,16.7
2020-07-19,16.6
2020-07-20,16.7
2020-07-21,16.4
2020-07-22,16.2
2020-07-23,15.9
2020-07-24,15.9
2020-07-25,15.5
2020-07-26,15.0
2020-07-27,15.1
2020-07-28,15.4
2020-07-29,15.4
2020-07-30,15.7
2020-07-31,15.8
2020-08-01,15.9
2020-08-02,15.3
2020-08-03,15.3
2020-08-04,16.0
2020-08-05,16.1
2020-08-06,16.0
2020-08-07,15.6
2020-08-08,15.9
2020-08-09,15.8
2020-08-10,15.6
2020-08-11,15.7
2020-08-12,16.3
2020-08-13,16.0
2020-08-14,15.9
2020-08-15,15.8
2020-08-16,16.0
2020-08-17,16.1
2020-08-18,15.9
2020-08-19,15.8
2020-08-20,16.1
2020-08-21,15.8
2020-08-22,16.1
2020-08-23,16.6
2020-08-24,17.2
2020-08-25,16.9
2020-08-26,16.6
2020-08-27,16.1
2020-08-28,16.1
2020-08-29,15.9
2020-08-30,15.9
2020-08-31,16.2
2020-09-01,15.7
2020-09-02,15.5
2020-09-03,15.6
2020-09-04,15.7
2020-09-05,15.7
2020-09-06,15.8
2020-09-07,15.7
2020-09-08,16.1
2020-09-09,15.8
2020-09-10,15.6
2020-09-11,15.9
2020-09-12,15.8
2020-09-13,15.9
2020-09-14,15.9
2020-09-15,16.1
2020-09-16,16.1
2020-09-17,16.3
2020-09-18,16.6
2020-09-19,16.5
2020-09-20,16.7
2020-09-21,16.9
2020-09-22,17.1
2020-09-23,17.0
2020-09-24,17.2
2020-09-25,17.2
2020-09-26,16.5
2020-09-27,16.5
2020-09-28,16.7
2020-09-29,16.8
2020-09-30,17.5
2020-10-01,17.4
2020-10-02,17.0
2020-10-03,16.8
2020-10-04,16.2
2020-10-05,17.1
2020-10-06,18.1
2020-10-07,17.7
2020-10-08,17.2
2020-10-09,17.0
2020-10-10,18.1
2020-10-11,17.9
2020-10-12,17.4
2020-10-13,17.3
2020-10-14,17.2
2020-10-15,18.1
2020-10-16,17.9
2020-10-17,18.2
2020-10-18,17.8
2020-10-19,17.8
2020-10-20,17.5
2020-10-21,17.6
2020-10-22,17.4
2020-10-23,17.2
2020-10-24,18.2
2020-10-25,17.2
2020-10-26,17.3
2020-10-27,17.2
2020-10-28,17.4
2020-10-29,17.3
2020-10-30,17.0
2020-10-31,17.7
2020-11-01,17.7
2020-11-02,18.0
2020-11-03,18.6
2020-11-04,17.4
2020-11-05,17.8
2020-11-06,18.2
2020-11-07,18.1
2020-11-08,18.6
2020-11-09,19.0
2020-11-10,18.8
2020-11-11,18.9
2020-11-12,19.2
2020-11-13,19.3
2020-11-14,19.7
2020-11-15,19.4
2020-11-16,18.0
2020-11-17,18.5
2020-11-18,18.6
2020-11-19,18.1
2020-11-20,17.7
2020-11-21,17.8
2020-11-22,17.8
2020-11-23,18.2
2020-11-24,17.9
2020-11-25,18.0
2020-11-26,17.9
2020-11-27,18.8
2020-11-28,19.1
2020-11-29,19.1
2020-11-30,19.1
2020-12-01,19.4
2020-12-02,19.1
2020-12-03,19.1
2020-12-04,19.3
2020-12-05,19.1
2020-12-06,19.2
2020-12-07,19.7
2020-12-08,19.8
2020-12-09,19.7
2020-12-10,19.7
2020-12-11,20.2
2020-12-12,20.1
2020-12-13,20.4
2020-12-14,20.3
2020-12-15,20.8
2020-12-16,20.0
2020-12-17,20.6
2020-12-18,20.8
2020-12-19,20.8
2020-12-20,20.0
2020-12-21,20.6
2020-12-22,20.7
2020-12-23,20.5
2020-12-24,20.5
2020-12-25,21.6
2020-12-26,21.3
2020-12-27,21.2
2020-12-28,21.9
2020-12-29,21.2
2020-12-30,21.4
2020-12-31,22.3
